Neighborhood,ID,HAI
West Humber-Clairville,1,71.577130554357
Mount Olive-Silverstone-Jamestown,2,61.0919214311491
Thistletown-Beaumond Heights,3,46.7881688590284
Rexdale-Kipling,4,54.6704927765684
Elms-Old Rexdale,5,61.0867659947415
Kingsview Village-The Westway,6,67.3950455451981
Willowridge-Martingrove-Richview,7,48.433968356474
Humber Heights-Westmount,8,54.3403889484894
Edenbridge-Humber Valley,9,70.9574934268186
Princess-Rosethorn,10,58.577425157987
Eringate-Centennial-West Deane,11,57.5583210040259
Markland Wood,12,71.3820730391066
Etobicoke West Mall,13,64.0571182949363
Islington-City Centre West,14,61.5974456725394
Kingsway South,15,79.2794870612113
Stonegate-Queensway,16,61.8389591824579
Mimico (includes Humber Bay Shores),17,59.2378277351298
New Toronto,18,40.6767168196436
Long Branch,19,48.2277026085074
Alderwood,20,47.9483706477572
Humber Summit,21,49.8528740381828
Humbermede,22,52.6246357484414
Pelmo Park-Humberlea,23,59.7383570554526
Black Creek,24,56.5242448940618
Glenfield-Jane Heights,25,50.7159232087998
Downsview-Roding-CFB,26,51.8321809092572
York University Heights,27,51.7551547580608
Rustic,28,33.0762489044697
Maple Leaf,29,43.3567046450482
Brookhaven-Amesbury,30,50.8223822895879
Yorkdale-Glen Park,31,48.6460336993442
Englemount-Lawrence,32,41.2305216101952
Clanton Park,33,52.7432077125329
Bathurst Manor,34,51.1991076408254
Westminster-Branson,35,52.888974887222
Newtonbrook West,36,41.0405545374871
Willowdale West,37,46.4632366472857
Lansing-Westgate,38,58.4380173337229
Bedford Park-Nortown,39,56.4380929009641
St.Andrew-Windfields,40,47.0219106047327
Bridle Path-Sunnybrook-York Mills,41,75.2788960026144
Banbury-Don Mills,42,49.5951552340514
Victoria Village,43,46.4939924540499
Flemingdon Park,44,63.0813378191173
Parkwoods-Donalda,45,59.9465253404596
Pleasant View,46,59.1305822174405
Don Valley Village,47,49.2036523429368
Hillcrest Village,48,51.7080522812863
Bayview Woods-Steeles,49,50.3864233925584
Newtonbrook East,50,41.0405545374871
Willowdale East,51,46.4632366472857
Bayview Village,52,59.2056961297191
Henry Farm,53,62.418846355665
O'Connor-Parkview,54,44.427868398953
Thorncliffe Park,55,49.4181758228408
Leaside-Bennington,56,80.45574057844
Broadview North,57,38.8869412795793
Old East York,58,45.0701139351446
Danforth East York,59,39.8553900087642
Woodbine-Lumsden,60,46.323002151223
Taylor-Massey,61,48.3407009745068
East End-Danforth,62,52.296231375986
The Beaches,63,56.319018404908
Woodbine Corridor,64,47.1356863994901
Greenwood-Coxwell,65,68.8619005884562
Danforth,66,43.5801928133216
Playter Estates-Danforth,67,41.6697294393712
North Riverdale,68,42.3312883435583
Blake-Jones,69,40.6003505696757
South Riverdale,70,46.9325153374233
Cabbagetown-South St. James Town,71,44.0590960310505
Regent Park,72,45.5127880678443
Moss Park,73,62.70958455014
North St. James Town,74,44.4400104059587
Church-Yonge Corridor,75,49.7965631776721
Bay Street Corridor,76,84.6192135390742
Waterfront Communities-The Island,77,73.6609209766618
Kensington-Chinatown,78,35.9065564112377
University,79,34.4434706397897
Palmerston-Little Italy,80,33.5232252410166
Trinity-Bellwoods,81,39.1489618906585
Niagara,82,74.6287523095392
Dufferin Grove,83,34.1489921121823
Little Portugal,84,62.4494752225925
South Parkdale,85,20.9735050225848
Roncesvalles,86,39.8553900087642
High Park-Swansea,87,46.7661358157711
High Park North,88,40.22787028922
Runnymede-Bloor West Village,89,53.3578001752848
Junction Area,90,51.4522678731007
Weston-Pelham Park,91,34.6751036853591
Corso Italia-Davenport,92,36.2455470391046
Dovercourt-Wallace Emerson-Junction,93,39.172098368458
Wychwood,94,40.22787028922
Annex,95,57.9243138120235
Casa Loma,96,91.9347442026703
Yonge-St.Clair,97,56.3425434752525
Rosedale-Moore Park,98,100
Mount Pleasant East,99,52.418134013226
Yonge-Eglinton,100,66.1524978089395
Forest Hill South,101,51.1229184925504
Forest Hill North,102,42.1434831601352
Lawrence Park South,103,67.6480764488733
Mount Pleasant West,104,52.7432077125329
Lawrence Park North,105,52.5806708628794
Humewood-Cedarvale,106,42.4627519719544
Oakwood Village,107,37.7898175444188
Briar Hill-Belgravia,108,45.7074493971848
Caledonia-Fairbank,109,42.1854654853373
Keelesdale-Eglinton West,110,46.6410090309797
Rockcliffe-Smythe,111,40.4407161637661
Beechborough-Greenbrook,112,32.727454932721
Weston,113,45.0191993644348
Lambton Baby Point,114,55.2791255564367
Mount Dennis,115,47.8672198328072
Steeles,116,52.8444929907652
L'Amoreaux,117,56.7879771842359
Tam O'Shanter-Sullivan,118,47.1420354951797
Wexford/Maryvale,119,45.7866125477156
Clairlea-Birchmount,120,52.0982579956027
Oakridge,121,33.7445006551488
Birchcliffe-Cliffside,122,50.1998926283656
Cliffcrest,123,45.5103179029559
Kennedy Park,124,46.4554057647047
Ionview,125,46.1752413788108
Dorset Park,126,58.9659336486938
Bendale,127,57.6743660060501
Agincourt South-Malvern West,128,59.8570931038046
Agincourt North,129,59.8570931038046
Milliken,130,53.2393280441975
Rouge,131,68.444067899056
Malvern,132,68.7655902379829
Centennial Scarborough,133,67.9404031551271
Highland Creek,134,54.4498446338937
Morningside,135,57.0837249083978
West Hill,136,53.6633376234918
Woburn,137,41.064963781693
Eglinton East,138,52.748760213608
Scarborough Village,139,49.4471638683603
Guildwood,140,63.422318023545
